"","eps0.05","eps0.1","eps1","eps5","eps10"
"p-value treat",0.0105871373340569,0.0105871373340569,0.0105871373340569,0.0284597369163105,0.0284597369163105
"p-value res",0.0284597369163105,0.0284597369163105,0.0284597369163105,0.0284597369163105,0.0284597369163105
