"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0036305",-29.6290349711151,1.66509660927238,-81.461547546998,2.03674284088829e-18,1.83734571676533e-14,30.548488195668
"FBgn0266917",-30.2613789960031,1.85641808608872,-63.5626790847102,4.49527711406531e-17,2.02759474229916e-13,28.6322486017569
"FBgn0004903",-30.6519616385784,1.93806703820772,-59.919484019806,9.38003146159198e-17,2.66567151126361e-13,28.1456674330291
"FBgn0037482",-29.3634829859724,1.52167706812913,-58.8178133578119,1.18198492906046e-16,2.66567151126361e-13,27.7013325703191
"FBgn0011300",26.4924215250327,1.21828936279175,55.562963362713,2.40190716300669e-16,4.33352090349668e-13,26.1819065479382
"FBgn0033989",28.605523860273,1.71076123861674,54.1669158903759,3.29734461780964e-16,4.89890592815212e-13,26.1665230441968
"FBgn0033581",-29.0537678114753,1.542293797928,-53.5476584366733,3.80482604279978e-16,4.89890592815212e-13,26.7535994801592
"FBgn0032197",-31.7363767407035,2.15856902574626,-52.9801989994529,4.34444600656435e-16,4.89890592815212e-13,27.0023800297959
"FBgn0023506",-28.3687344821262,1.59184507615136,-51.4294699845322,6.28805990317397e-16,6.30273204294805e-13,26.239230883028
"FBgn0021875",-30.858794970988,2.11809851030779,-50.4463062929162,7.99524087429226e-16,6.35831724358252e-13,26.4130446226749
"FBgn0037737",-31.9745914059312,2.28366463984677,-50.3270277710547,8.23424836820248e-16,6.35831724358252e-13,26.4651364325232
"FBgn0037241",29.2117255254251,1.84572409399552,50.2186928049344,8.45802094257735e-16,6.35831724358252e-13,25.5512849410765
"FBgn0040080",-31.7777244465578,2.18610319709703,-49.4677316681916,1.0201862756465e-15,7.07930799431314e-13,26.2650530833818
"FBgn0028380",-32.3433454676007,2.37913179866399,-48.1150775463726,1.44031098554996e-15,9.28074671474728e-13,25.9864562749058
"FBgn0031114",-29.3504944842469,1.60419106905851,-46.9358731467141,1.96095879962036e-15,1.17932062209168e-12,25.4547761595589
"FBgn0024194",28.1827105548476,1.57143681884557,42.0095026352934,7.77845431789575e-15,4.3855897751086e-12,23.8103662959484
"FBgn0013764",-31.5551807631178,2.19147871306145,-41.2372556171891,9.79361492559e-15,5.19695295551455e-12,24.2231949984847
"FBgn0038016",-28.9092526098808,1.67022230981122,-40.261163488164,1.31849999392661e-14,6.60788246956218e-12,23.7273895636853
"FBgn0265137",-4.23051287122183,12.5581471851393,-39.4105708844065,1.71852381271909e-14,8.15937016554678e-12,22.0326843576189
"FBgn0030717",28.2909358773545,1.45970214382461,39.0920865887133,1.90052496423009e-14,8.37897147146043e-12,23.0902657561368
"FBgn0011305",31.0747008891853,2.30119668853668,39.0103118147184,1.95054207849095e-14,8.37897147146043e-12,23.1564857077558
"FBgn0032467",29.3022774191464,1.71633707770922,38.1214103182756,2.59605558118429e-14,1.06450079081198e-11,22.8751275122356
"FBgn0051357",30.3211154346066,2.14064560186758,37.5251187932603,3.15652397508725e-14,1.23804359909835e-11,22.7377670864399
"FBgn0035137",28.6875227667365,1.76639474190608,37.0519708560701,3.69421038596554e-14,1.3885613288248e-11,22.554058227501
"FBgn0032790",30.6632757590885,2.17558464362269,36.6925744056274,4.16856431801177e-14,1.48067066065539e-11,22.5057367325119
"FBgn0035540",27.5282836081577,1.5117192039292,36.6231647691667,4.26753543698483e-14,1.48067066065539e-11,22.3829937390769
"FBgn0030468",-31.4265322373888,2.10561684410331,-35.2901641864278,6.75550009670971e-14,2.2570876434229e-11,22.4003172888536
"FBgn0085437",28.0394572765371,1.42961533072516,33.514382264144,1.27998763663568e-13,4.12384588217516e-11,21.4607294694812
"FBgn0033539",-28.3847294518357,1.24402649734431,-31.764970170116,2.48365870730315e-13,7.72589144778679e-11,21.0557618131257
"FBgn0039003",-15.1345572745284,-1.82413557992711,-31.5568770856506,2.69378476655412e-13,8.10021079302823e-11,20.7952839018277
"FBgn0263601",-32.7827085514523,2.52846802373491,-30.9448673860742,3.43105986317369e-13,9.68458584893348e-11,20.824452387518
"FBgn0028487",27.8758644445092,1.64384865985071,30.9417055394423,3.43539238627504e-13,9.68458584893348e-11,20.5779541233388
"FBgn0264895",-31.6935651375002,2.27833860243283,-30.785802086371,3.65651724054345e-13,9.99558849301288e-11,20.7572608722086
"FBgn0010421",27.900635770903,1.45664978759247,30.6704453025928,3.83000586146813e-13,1.01619067283247e-10,20.4843839063954
"FBgn0000163",-30.6800721969519,2.0678336102729,-30.5130259710654,4.08123334370799e-13,1.05190874267399e-10,20.6403767856903
"FBgn0262937",-31.5027532388089,2.3067030865224,-29.8761065574945,5.29497811596269e-13,1.30641787107536e-10,20.3919149893155
"FBgn0030839",-33.0777921762614,2.56334564148736,-29.8473246821662,5.35832626424878e-13,1.30641787107536e-10,20.3817295970362
"FBgn0000615",-30.6745584957466,1.96658623606131,-28.8780950058939,8.05105747469195e-13,1.91127867050516e-10,19.9728910879937
"FBgn0039141",-32.3619528710571,2.33747916005834,-28.7767211377342,8.40774979092784e-13,1.94477720164e-10,19.9320381385737
"FBgn0034578",-32.2941077368213,2.3466431858829,-28.6262150409671,8.96913581347865e-13,2.01019685666659e-10,19.8674334801452
