"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0036305",-22.4168835993659,5.31927684488335,-58.988912080159,1.30331361685663e-16,1.17571921376636e-12,27.7829253029579
"FBgn0266917",-22.5633946152032,5.5497399704123,-49.8264079905735,1.05600829711636e-15,3.09534768911255e-12,26.1199964432013
"FBgn0037342",-23.1692525554696,5.75221200845216,-49.3989375520786,1.1749275957707e-15,3.09534768911255e-12,26.1097473925043
"FBgn0033581",-22.7206752546036,5.12059654618077,-47.9206239319715,1.71159312722541e-15,3.09534768911255e-12,25.7286478493565
"FBgn0010877",-23.9798930043991,6.28973230443273,-47.9114965081495,1.71563445799388e-15,3.09534768911255e-12,25.8152681000102
"FBgn0004903",-22.8517813614308,5.64272032475094,-42.6241841716613,7.29056914480902e-15,1.09613707092204e-11,24.4608098455848
"FBgn0023506",-21.4807540095037,5.18778794880447,-41.3532485644511,1.0599286960424e-14,1.36594525242835e-11,23.9200468656652
"FBgn0037482",-21.8912682067697,5.1271393295915,-40.4382224227101,1.39753329191624e-14,1.57589347829705e-11,23.7419232674179
"FBgn0021875",-23.1431671607527,5.84713662448379,-38.0098399634906,3.002818775104e-14,3.00982535224591e-11,23.1689215811359
"FBgn0032197",-23.5140954463896,5.89518181742891,-36.9118952373903,4.31151457037616e-14,3.88941729393634e-11,22.8363824561335
"FBgn0011300",19.9138317218283,4.69506106071678,35.2166400993861,7.69937522794529e-14,6.31418763011768e-11,21.5805491140744
"FBgn0037737",-23.6528721322294,6.03093275138583,-34.810259943152,8.88362530637276e-14,6.67177671401183e-11,22.1445269976789
"FBgn0037241",22.2002293347288,5.53574599723249,34.587644090988,9.61457679660279e-14,6.67177671401183e-11,21.5215044067263
"FBgn0033989",20.741179178291,5.358103507922,33.7085429406645,1.32034956963683e-13,8.35615545233478e-11,21.1908992986543
"FBgn0040080",-23.1788593764228,5.926878097303,-33.56922650689,1.38945052416608e-13,8.35615545233478e-11,21.7051329778444
"FBgn0028380",-23.542439115225,6.13715374413425,-32.3521500487929,2.1892901146269e-13,1.16267170504515e-10,21.2663659509511
"FBgn0031114",-21.7104310631096,5.20652882271349,-32.3500435392632,2.19104522622409e-13,1.16267170504515e-10,21.192522648989
"FBgn0265137",-2.47886850837245,20.1557296019472,-30.2226481430854,5.05762704236792e-13,2.53471408606672e-10,18.0933384724426
"FBgn0013764",-23.5848734344054,5.92987283488997,-28.9008790590645,8.75889973481499e-13,4.15863339514558e-10,19.8955714028992
"FBgn0027841",-21.0183866326966,-0.733434459746702,-28.6206376881367,9.87141047458259e-13,4.45249969456048e-10,19.7098668178825
"FBgn0003330",-22.6440038566219,1.26743667174715,-28.4706818709657,1.05285829647671e-12,4.52277842500781e-10,19.7101797825112
"FBgn0024194",21.2139318482661,5.1998394573851,26.1200334374816,3.0262189550315e-12,1.24088732696996e-09,18.477918317465
"FBgn0032195",-19.3757616601409,-0.508815404885325,-25.3471600285165,4.36943975495331e-12,1.7137702621493e-09,18.2077996976017
"FBgn0030468",-23.3806531257124,5.83136750614552,-25.0299495926258,5.09638924644771e-12,1.81175022935178e-09,18.1232463551476
"FBgn0032467",22.0700575331763,5.30993449006975,24.9390411766868,5.32804313846168e-12,1.81175022935178e-09,17.9720459828971
"FBgn0038016",-20.1473163429837,5.26800867244393,-24.9146784402318,5.39203719143559e-12,1.81175022935178e-09,18.0452848579788
"FBgn0035137",21.8730447730513,5.44427619936213,24.8923632821346,5.45138086820019e-12,1.81175022935178e-09,17.9482301437218
"FBgn0035540",21.317219545198,5.10433244491619,24.8291175535426,5.62343492094554e-12,1.81175022935178e-09,17.9096791926952
"FBgn0051357",22.6815999954555,5.87942206277365,23.6323235449145,1.02755277907209e-11,3.19639780000322e-09,17.3616005262996
"FBgn0011305",22.9471299457393,6.05291100742133,23.0682286267828,1.3792627926815e-11,4.14744321759328e-09,17.0834867779206
"FBgn0051961",-22.4722629290809,5.53389879997692,-22.5483169465685,1.82035345348208e-11,5.29722854963285e-09,16.8451105602537
"FBgn0032790",22.7473363472423,5.91383740779417,22.4367864842567,1.9335385584212e-11,5.45076604234927e-09,16.7606619237127
"FBgn0262937",-23.3173412930962,6.05595852006975,-21.660396095121,2.96645153127034e-11,7.88937148373124e-09,16.3222053275004
"FBgn0083992",21.5986442733078,5.45734033244851,21.6143283770047,3.04414583557122e-11,7.88937148373124e-09,16.3179711943607
"FBgn0001276",22.3515440925248,5.30821210534318,21.6045333044537,3.06094670137006e-11,7.88937148373124e-09,16.3180012291232
"FBgn0264895",-22.8882299907575,6.02412548557999,-21.2990098825287,3.63861142286731e-11,9.11775379046835e-09,16.1220775520412
"FBgn0000163",-22.211907947544,5.7721593619343,-21.1170699164656,4.03769757832136e-11,9.84434320379379e-09,16.0388897753606
"FBgn0027335",-1.27701124839471,19.7483565152378,-20.8352249615854,4.75210304360727e-11,1.12812425148372e-08,13.2652958397592
"FBgn0263601",-23.8828174465534,6.29526727428941,-20.7870471574463,4.88732019743055e-11,1.13047475643643e-08,15.8002046771855
"FBgn0035405",-23.2110534144109,5.68987647295348,-20.6240193547855,5.37653679513458e-11,1.19892494299762e-08,15.7112674098556
"FBgn0041205",-1.7067629974742,20.0853076311007,-20.6012215161017,5.44905472374488e-11,1.19892494299762e-08,12.9701068349659
"FBgn0028487",21.6488860195746,5.2692413257734,20.4799435963578,5.85297974658182e-11,1.2571364355694e-08,15.686723807047
"FBgn0085437",21.3378807212874,5.00348478201778,20.3159128647732,6.45147039148951e-11,1.35345847445644e-08,15.5900909726678
"FBgn0000615",-22.5840845436725,5.66295837432655,-20.2428477432427,6.73901634800629e-11,1.38165151080374e-08,15.4984533914104
"FBgn0034578",-23.9708962183712,6.09872195932654,-19.8321097547365,8.63521172926743e-11,1.73107211132714e-08,15.2099219513982
"FBgn0010421",21.1466553210641,5.0094688547025,19.7626796559102,9.00911204431217e-11,1.76676521199435e-08,15.2640257913575
"FBgn0030839",-23.9580731427037,6.33596724654853,-19.4918146882382,1.06435808462166e-10,2.04288814497277e-08,14.9928031517657
"FBgn0036376",-1.27103377418264,19.3702240127585,-19.3331185134636,1.1747638905719e-10,2.20782188684357e-08,12.4324857974895
"FBgn0024273",-1.50510787806849,19.823873506609,-19.299274263191,1.19987083303006e-10,2.20898669076819e-08,12.2457617554307
"FBgn0260049",-1.23522132067597,19.8929072130059,-19.0464262642551,1.4067908767695e-10,2.46700525636668e-08,12.0382441122694
"FBgn0032587",-23.556950075754,6.29959169130384,-19.0132232731387,1.43670207198221e-10,2.46700525636668e-08,14.6849306283365
"FBgn0041096",-23.2448698358524,6.27043141418674,-19.006276822616,1.44304613007451e-10,2.46700525636668e-08,14.6865689701123
"FBgn0039141",-23.6502268751644,6.0915549755987,-18.9993416397646,1.44941002757382e-10,2.46700525636668e-08,14.6744841151894
"FBgn0015754",-1.36642746318773,19.6692367349711,-18.735740104303,1.715212990082e-10,2.86535858954255e-08,11.8939321763998
"FBgn0031450",-2.35138003721552,19.1085853687273,-18.473300262369,2.03275932371561e-10,3.33409488349791e-08,12.1360468039828
"FBgn0262617",-23.1715642524684,6.02379441735946,-18.2624221766831,2.33385520715666e-10,3.75959068281432e-08,14.1878837249021
"FBgn0030717",21.6242688191151,4.90927407084031,18.2229463133494,2.39538495855333e-10,3.79101187914204e-08,14.3041897664742
"FBgn0052451",22.8288743713911,5.56485629930251,18.0417263923026,2.70116365331113e-10,4.20124091664133e-08,14.1853266668056
"FBgn0001297",-2.24804716718452,20.1648641128328,-17.891310550304,2.98696230394499e-10,4.5235786445068e-08,11.1588743377122
"FBgn0038897",-24.3697535245512,6.4854664785645,-17.8805117483117,3.00869879913987e-10,4.5235786445068e-08,13.9082865837282
"FBgn0031799",-23.2536643797001,5.92893509137758,-17.8348604645333,3.10248990254936e-10,4.58812482145865e-08,13.8891990015433
"FBgn0037472",-24.0906848148,6.03536629385978,-17.8026537059208,3.1705522077452e-10,4.61315346226926e-08,13.8546682261237
"FBgn0027509",-23.5884190181398,6.0100611771404,-17.6090630919246,3.61510301313751e-10,5.17648321928785e-08,13.7222106747888
"FBgn0033787",-1.04186518251582,21.6580548848829,-17.5543354763561,3.75263144247848e-10,5.28945128790599e-08,10.2197857578715
"FBgn0038638",-1.7769139539693,19.7185380660975,-17.4005919515728,4.17004507884632e-10,5.69971087161861e-08,10.962013820855
"FBgn0032793",-24.021193521698,6.49565535773445,-17.4000905480509,4.17148557273637e-10,5.69971087161861e-08,13.5682356810259
"FBgn0015351",-25.9779531090177,7.30683837001689,-17.3787686770674,4.23324053207457e-10,5.69971087161861e-08,13.5494404395571
"FBgn0020389",-24.6895507177834,7.74084012824289,-17.2723099523346,4.55667206285162e-10,6.04496157043889e-08,13.4735678619573
"FBgn0052594",-23.7419615896306,6.13603995243909,-17.2338224686171,4.6800704643215e-10,6.11868342878902e-08,13.4500623485087
"FBgn0034073",-21.7821184875552,6.20823756028803,-17.0997652396307,5.13879061641792e-10,6.6224328786723e-08,13.439221599304
"FBgn0036766",-0.829305229216022,22.0912717788158,-17.056912829227,5.29546173898601e-10,6.72821976723842e-08,9.60186861986835
"FBgn0039056",-23.804271581614,6.06679280671722,-16.983705470002,5.57514304520667e-10,6.9724623162815e-08,13.2663109698494
"FBgn0051694",-2.28325742681238,20.1470552911837,-16.9667216234568,5.64227634506761e-10,6.9724623162815e-08,10.4656389363126
"FBgn0034643",-24.1063493800971,6.32649757134952,-16.8300943675341,6.21510034135109e-10,7.57654326747678e-08,13.1502798781232
"FBgn0028515",-1.7044007352365,19.7365088239035,-16.7155113416223,6.74387381138004e-10,8.11153142032791e-08,10.3974979972109
"FBgn0034110",23.0561347313405,6.03861108432721,16.6334122819224,7.15246059158999e-10,8.48978249957017e-08,13.2113451532223
"FBgn0050456",-1.20176265980621,20.2327326929379,-16.5545283615565,7.57025672208537e-10,8.86899816752365e-08,10.075973221748
"FBgn0066114",22.8073794101069,5.6751194031086,16.5044511650545,7.84907222001929e-10,9.07775390984538e-08,13.1180617398793
"FBgn0016693",-1.04824067600038,20.17611278934,-16.464910205708,8.07703776611418e-10,9.22315920102735e-08,10.0305100171945
"FBgn0041180",-1.90658507443991,19.3826565080148,-16.4038948614177,8.44291679677968e-10,9.52044405296868e-08,10.3776803672647
"FBgn0037293",-2.00004272615013,19.3015660164082,-16.3282556776799,8.92145609049113e-10,9.93585869040994e-08,10.3451338027942
"FBgn0003575",-23.7963391339644,6.4101759254109,-16.2942459394005,9.14607045487206e-10,1.0061792874805e-07,12.7475050480281
"FBgn0039595",22.124487281706,5.70255767422449,16.1808188703612,9.94031078853328e-10,1.08038004365492e-07,12.8815081979335
"FBgn0031498",-22.707358778192,5.21829275926604,-16.1439249160866,1.02144127065065e-09,1.09567319996829e-07,12.6686016844316
"FBgn0024689",22.8638083557357,5.90850651088506,16.1294803517227,1.03239354835722e-09,1.09567319996829e-07,12.8418730700005
"FBgn0039877",21.262793215048,4.94972843648506,16.0854053338835,1.06660138100221e-09,1.11881523930476e-07,12.8134304577735
"FBgn0034878",-23.7834349191335,6.28982393695138,-15.9073111480852,1.21778170772906e-09,1.26271365349699e-07,12.447089467987
"FBgn0040475",-1.83703892513343,19.9306412983047,-15.6476897276838,1.48099090401765e-09,1.50060383170478e-07,9.50954236443316
"FBgn0014018",-2.73701955465262,20.1473283725398,-15.6284672643109,1.50278040678635e-09,1.50060383170478e-07,9.53124255035639
"FBgn0042102",-1.82579089550715,20.264960839573,-15.61953938539,1.51301770135957e-09,1.50060383170478e-07,9.33248723666966
"FBgn0004574",-0.862300344765131,19.9369876471421,-15.6076051362452,1.52681972296948e-09,1.50060383170478e-07,9.44652580933836
"FBgn0086346",-1.61513341340042,19.9828460320858,-15.5996793930964,1.53606075152819e-09,1.50060383170478e-07,9.42817586199954
"FBgn0262517",22.419052337671,5.72830432675412,15.5903511278531,1.54701425948947e-09,1.50060383170478e-07,12.4339464433893
"FBgn0025865",-1.2399064257861,19.9200316834097,-15.484839035161,1.67693649105796e-09,1.60932383891849e-07,9.32379782555734
"FBgn0017429",21.9774042306871,5.51796125700275,15.41386456521,1.77091259579156e-09,1.68162131859323e-07,12.2985748750617
"FBgn0035851",-22.2460978669538,5.60812893617683,-15.3437988684352,1.86926855448966e-09,1.756528294797e-07,12.0659064177125
"FBgn0051038",-23.9139490769135,6.10792990358512,-15.293030532185,1.94420370731875e-09,1.80810944780643e-07,11.9540796688493
"FBgn0027066",-1.13988585636587,20.009246646606,-15.257576592251,1.99844908029998e-09,1.83398060403714e-07,9.12027391172913
"FBgn0039487",-22.5980867701707,5.81939945544481,-15.2484453514619,2.0126824054947e-09,1.83398060403714e-07,11.9626651057208
"FBgn0039959",22.4196749383174,5.61848475510304,15.1769200427514,2.12802102807226e-09,1.91968776942399e-07,12.110776876894
"FBgn0030893",-1.54377755152607,19.2468374095654,-15.1636434427851,2.15020279711701e-09,1.92049301314777e-07,9.40044623644837
"FBgn0038353",-0.803696751471268,21.8132784263294,-15.118692222648,2.2271716533004e-09,1.96901507565129e-07,8.23518052475394
