"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0265137",-7.71951939962782,7.36964984325098,-32.8669960132385,4.59065046853511e-15,4.14122578766552e-11,24.1204985613424
"FBgn0033153",-12.4247109409288,7.84545588199492,-27.396798059209,6.23983539177255e-14,2.81447775345901e-10,21.9270343320022
"FBgn0051633",-8.25351446266099,5.69668677742574,-26.0561801883343,1.27737871763477e-13,3.62131031009362e-10,21.2997430287399
"FBgn0051216",-11.537785986625,4.89209640146619,-25.6415608491952,1.60572455829448e-13,3.62131031009362e-10,20.8106129671502
"FBgn0264704",-14.3842595396997,3.62791956655024,-25.0390044896742,2.25339788625899e-13,4.06558046638846e-10,19.1724181860797
"FBgn0015351",-7.79383520829661,5.02666414910356,-24.5086957198306,3.05627288589301e-13,4.59510628394014e-10,20.4939411094703
"FBgn0031033",-14.0042470604033,6.00407473731011,-23.856079924191,4.48620766440326e-13,5.08992078160072e-10,20.0430385077006
"FBgn0032805",-6.23183955130172,5.23363734419359,-23.8457742319114,4.51384173071786e-13,5.08992078160072e-10,20.185561454955
"FBgn0041205",-4.99640855707933,6.9122070696249,-23.4594261650136,5.69282508664318e-13,5.70610834517868e-10,19.9520705985541
"FBgn0024360",-5.01919151576289,4.67394937273368,-22.2587412246097,1.19928457215022e-12,9.80745956853182e-10,19.2964496515587
"FBgn0033438",-7.18448275090065,3.0000684895103,-22.1743568949676,1.26555992846115e-12,9.80745956853182e-10,18.8109735880143
"FBgn0033051",-4.89612992850604,5.49933187035816,-22.126807502434,1.3046171690764e-12,9.80745956853182e-10,19.2189615286833
"FBgn0030839",-4.83286343939537,3.72831962332312,-21.7820165762371,1.62934102123612e-12,1.13063733481316e-09,18.9572684453037
"FBgn0051694",-8.16341220295802,7.42607291667604,-21.0702894575971,2.60564331510208e-12,1.64944707968439e-09,18.5511514126948
"FBgn0036766",-5.04514399512418,12.6141425209573,-20.9878562346052,2.75390490014995e-12,1.64944707968439e-09,18.4576750463095
"FBgn0052579",-4.73521601257001,4.03851787285194,-20.8692767665398,2.9831677585247e-12,1.64944707968439e-09,18.4259854003476
"FBgn0001297",-7.06649637064888,7.26475799139384,-20.7953772900223,3.13627927824691e-12,1.64944707968439e-09,18.3767718855539
"FBgn0004644",-6.10588588386587,3.98357796110923,-20.7244149546427,3.29121465849894e-12,1.64944707968439e-09,18.2926829932822
"FBgn0031450",-4.0692231969257,5.68707506529959,-20.5289073814999,3.76185283831803e-12,1.65566571846948e-09,18.2232661221183
"FBgn0014018",-7.71983873887249,7.36386766653151,-20.5016558100605,3.83295603736607e-12,1.65566571846948e-09,18.1885294142861
"FBgn0023388",-3.00974755923511,4.47255112897105,-20.4936080776601,3.85422681386311e-12,1.65566571846948e-09,18.2145615121099
"FBgn0027601",-6.82037056679741,5.48708704828476,-20.3085106968252,4.37987258160711e-12,1.79594684357626e-09,18.0671111449607
"FBgn0260450",-3.99202780725461,3.26398230689816,-20.04476279963,5.26505059705324e-12,2.06504441026162e-09,17.8314772773873
"FBgn0031643",-6.11275589356432,5.56303635572297,-19.8485827096586,6.04650121014879e-12,2.27272864236468e-09,17.7661370907347
"FBgn0040475",-4.56847152384079,6.65985949415419,-19.3689904815492,8.52701249003191e-12,3.07688718690311e-09,17.4253606971884
"FBgn0053158",-6.44777807573602,4.47870551899969,-19.2200848810189,9.50276981107918e-12,3.10147878926929e-09,17.3145475356342
"FBgn0041180",-4.62754871254177,6.02880764632571,-19.2200225168312,9.50320257317857e-12,3.10147878926929e-09,17.3326110574913
"FBgn0016031",-7.27722258974607,5.92787992300386,-19.2023648777162,9.62658309494958e-12,3.10147878926929e-09,17.3135607576089
"FBgn0086346",-4.5856272970826,6.72819854775928,-19.1113968259338,1.02898560841599e-11,3.20085488742092e-09,17.245068409431
"FBgn0000395",-5.91767662581779,3.22314029956897,-18.7749281418034,1.31996571497364e-11,3.79403423032893e-09,16.8882250162825
"FBgn0040395",-3.71009405613267,3.30077699606076,-18.7499614737693,1.34480478951871e-11,3.79403423032893e-09,16.9600797597533
"FBgn0031662",-7.63779831182091,5.90836047272891,-18.748922063403,1.34584963275164e-11,3.79403423032893e-09,16.9913743708508
"FBgn0005660",-12.30399004688,4.15108523414106,-18.4980065371022,1.62528695900054e-11,4.44294353246784e-09,16.4646349674622
"FBgn0015754",-3.19457011631064,6.17930994598315,-18.443558065564,1.69373352651135e-11,4.49387357137027e-09,16.77493975322
"FBgn0027561",-4.7272811788189,4.95389957680885,-18.0577860498255,2.27609169630228e-11,5.86646376924082e-09,16.4940309426106
"FBgn0261113",-5.90229616932936,10.1979984611771,-17.7460944219994,2.90231289457303e-11,7.07567864735897e-09,16.2344981212189
"FBgn0035806",-11.5964068784812,3.45248416523826,-17.7269216059472,2.94640567325268e-11,7.07567864735897e-09,15.7825010085581
"FBgn0042102",-5.76303210411257,7.29310154207544,-17.7122818062877,2.98055413590113e-11,7.07567864735897e-09,16.2207119907991
"FBgn0028515",-3.86228987039412,6.33394204572518,-17.6506799160202,3.12893579695116e-11,7.23746918571703e-09,16.1775461621238
"FBgn0260049",-3.15264824392123,6.46872638605734,-17.5435816122888,3.40596887084135e-11,7.56499901903892e-09,16.0937824757911
"FBgn0035996",-5.39922931661712,3.80216270114375,-17.5317081884935,3.43825473651032e-11,7.56499901903892e-09,16.0629601189638
"FBgn0002973",-3.99706540856799,5.31764387773265,-17.4639799723943,3.62876554256748e-11,7.63451096258812e-09,16.0400647899727
"FBgn0027335",-3.08967949181584,6.27184360751627,-17.4604121269161,3.63910842912415e-11,7.63451096258812e-09,16.0316019717964
"FBgn0265784",-3.25766852808754,5.21396729923151,-17.2544160538802,4.29296263526738e-11,8.80154907562433e-09,15.8766708634899
"FBgn0037293",-3.77918602550235,5.84637913890527,-17.2071849738913,4.45985803298712e-11,8.94052873679485e-09,15.8358185311753
"FBgn0052369",-4.77904610175657,3.9445659587162,-17.0654010005379,5.00374131299565e-11,9.81277182272473e-09,15.7171738092476
"FBgn0016693",-2.99554239766245,6.90655515738368,-16.9383939006399,5.55114391965824e-11,1.06546530423908e-08,15.6135285921373
"FBgn0038455",-5.57974238986471,6.48376199950431,-16.8257320844501,6.09025725116616e-11,1.13986625233474e-08,15.5266778747322
"FBgn0050109",-5.14607495588651,5.97744236863039,-16.805764884557,6.19149167103452e-11,1.13986625233474e-08,15.5128729909299
"FBgn0024273",-3.55699863818321,6.40697615082883,-16.6632098361908,6.96846135209616e-11,1.25724979714519e-08,15.395069462171
"FBgn0030268",-3.44944257631604,4.70129426748489,-16.6297290573951,7.16560473413824e-11,1.26746902562081e-08,15.372892077992
"FBgn0005640",-3.6312721363566,4.69944043901002,-16.5949689616419,7.37658191922232e-11,1.27969510564047e-08,15.3440629741222
"FBgn0035977",-5.84883703320438,3.04983205778234,-16.5482628992056,7.67054500939496e-11,1.30558465150475e-08,15.2302667772002
"FBgn0050456",-3.69452774727027,7.02586927359785,-16.4869598346481,8.0754579038406e-11,1.34905010649159e-08,15.2470828924183
"FBgn0050115",-4.37299962331442,5.71329203790051,-16.4046595039797,8.65523130887128e-11,1.41961530249687e-08,15.1844107450202
"FBgn0067102",-4.62890012194231,4.69893974535764,-16.3095288150277,9.3811283852219e-11,1.48768065924323e-08,15.105445328931
"FBgn0000636",-3.80135279587296,4.92952975482813,-16.3071558588869,9.40004407237156e-11,1.48768065924323e-08,15.1043435665901
"FBgn0038897",-4.05847857078135,4.13031496432281,-16.2764743764458,9.64830972268326e-11,1.50064486221251e-08,15.077067669266
"FBgn0261983",-3.71740241935507,4.72335393953596,-16.233002700582,1.00120988887541e-10,1.53083295043138e-08,15.0419767300772
"FBgn0050157",-4.99055954193761,2.77961727781439,-16.1893762284812,1.03919090990978e-10,1.56125241342108e-08,14.9268430320708
"FBgn0035360",-3.98340344707653,8.32775644789248,-16.1709192372491,1.0557188473416e-10,1.56125241342108e-08,14.9824529802607
"FBgn0031799",-3.7296530592191,3.70867225430546,-16.1431227160331,1.08114070142867e-10,1.57305972057872e-08,14.9624806360408
"FBgn0002524",-5.46972130691114,6.70237292330813,-15.9509258030179,1.27578343011251e-10,1.8268003687373e-08,14.7993736312553
"FBgn0039141",-3.33236343010109,3.88518079630086,-15.9175588506223,1.31322081899349e-10,1.82734260392147e-08,14.77251604305
"FBgn0033928",-8.80827813069533,6.59897383985072,-15.9125923198608,1.31889251555426e-10,1.82734260392147e-08,14.767562700682
"FBgn0036237",-5.30075111032471,6.3323293005204,-15.8969458466595,1.33693173549292e-10,1.82734260392147e-08,14.7538263695687
"FBgn0032955",-3.15741363725579,5.78532488883789,-15.8703156393179,1.36824133583901e-10,1.84222464038862e-08,14.7320956636839
"FBgn0033787",-4.98702970819343,10.9886174579352,-15.8332902436638,1.41307683977699e-10,1.85384364312892e-08,14.6940787177066
"FBgn0040348",-7.02017343560587,1.83376472380519,-15.8105472176081,1.44139099750217e-10,1.85384364312892e-08,14.2764760372035
"FBgn0032018",-3.98361350285554,5.6026427352487,-15.8029768196407,1.45094937781414e-10,1.85384364312892e-08,14.6740195558851
"FBgn0011274",-3.41385218670453,5.5431218228616,-15.7965850755433,1.4590721501181e-10,1.85384364312892e-08,14.6685217930843
"FBgn0031031",-8.86288834071212,-0.435081445726946,-15.6467793003381,1.66400314759616e-10,2.01124766866307e-08,12.5707559976577
"FBgn0036376",-2.44852185969552,5.79893846507453,-15.6315579490044,1.68647913257916e-10,2.01124766866307e-08,14.5247997980835
"FBgn0034451",-3.86965749629888,5.21965947992156,-15.6197429040755,1.70414814194114e-10,2.01124766866307e-08,14.5143263918401
"FBgn0041184",-11.4888451865619,6.49657640675772,-15.6122838874943,1.71540428582771e-10,2.01124766866307e-08,14.5069781312536
"FBgn0038747",-3.26270776640627,5.14623822020702,-15.6121910643912,1.71554485971701e-10,2.01124766866307e-08,14.5075450656219
"FBgn0031317",-4.02207056995706,5.27398482324214,-15.6114098644041,1.71672841688346e-10,2.01124766866307e-08,14.5070841767702
