"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0039003",-22.2453725228791,0.0292784659857639,-62.4842107441145,6.38185674141173e-17,5.75707296642752e-13,27.86270676179
"FBgn0036305",-21.8956864445238,5.31927684488335,-50.4980266060778,8.94631546563873e-16,4.03523559077635e-12,25.8448907214791
"FBgn0266917",-22.4783436736129,5.5497399704123,-44.7626643616258,3.97941117055113e-15,1.19660893898472e-11,24.747393755924
"FBgn0033989",22.4210306184879,5.358103507922,42.786952103008,6.9549598064985e-15,1.20272176362553e-11,23.876274215059
"FBgn0037342",-22.7845601094602,5.75221200845216,-42.5604379875182,7.42673725094437e-15,1.20272176362553e-11,24.2486009361007
"FBgn0010877",-23.9905455000606,6.28973230443273,-42.3054698635481,7.99947963834736e-15,1.20272176362553e-11,24.2352053886064
"FBgn0011300",20.3981278072729,4.69506106071678,40.3035942792857,1.45631779405248e-14,1.87677754573535e-11,23.1076108738736
"FBgn0037482",-22.1295490490144,5.1271393295915,-39.02920503699,2.16580625136011e-14,2.44221727418994e-11,23.2488504902062
"FBgn0037241",21.8002788597243,5.53574599723249,38.0160712175162,2.99674865254242e-14,3.00374106606502e-11,22.6635143030615
"FBgn0004903",-22.6472325164753,5.64272032475094,-37.5722172552908,3.4642168120314e-14,3.12506998613352e-11,22.8816858581446
"FBgn0023506",-20.9978125622723,5.18778794880447,-36.5881772033548,4.80648228007798e-14,3.9417524225985e-11,22.4013878183882
"FBgn0038016",-22.7666571395406,5.26800867244393,-34.0188442689314,1.17941170631176e-13,8.86622750219865e-11,21.7653114816922
"FBgn0033581",-20.6913444374962,5.12059654618077,-33.4126242219917,1.47181707222758e-13,1.02132783142808e-10,21.378866622532
"FBgn0031114",-22.2312188474174,5.20652882271349,-32.5494102491885,2.03147227998178e-13,1.30899367412255e-10,21.2295609359313
"FBgn0021875",-22.5822829427275,5.84713662448379,-32.1538195650136,2.36139142532039e-13,1.39595030777555e-10,21.1072609107311
"FBgn0032197",-23.2144988794432,5.89518181742891,-32.030306312619,2.47591230732833e-13,1.39595030777555e-10,21.0822301377416
"FBgn0040080",-23.6049217177413,5.926878097303,-30.7533226910329,4.0835654512251e-13,2.16693199620598e-10,20.6098856932245
"FBgn0037737",-23.3253639697158,6.03093275138583,-30.161868889812,5.18428703651412e-13,2.59819185313299e-10,20.3776892478893
"FBgn0024194",21.4972114642628,5.1998394573851,29.8785015748432,5.82172998988727e-13,2.76409611783016e-10,20.0763938044798
"FBgn0028380",-23.8340657833078,6.13715374413425,-29.1107032877776,8.01471476871454e-13,3.61503709642869e-10,19.9598924038686
"FBgn0032467",22.069379908705,5.30993449006975,28.187050929046,1.19043693086753e-12,5.11377693016952e-10,19.4421842708745
"FBgn0035137",21.4788176602698,5.44427619936213,27.1923498307383,1.84912938707687e-12,7.58227100037293e-10,19.0177296410689
"FBgn0051357",22.5861519099841,5.87942206277365,26.6929190275898,2.32044307901829e-12,9.10118131122782e-10,18.8290088892021
"FBgn0011305",23.1439320125517,6.05291100742133,26.4970048460791,2.53944771834215e-12,9.54514911131854e-10,18.7479168301542
"FBgn0265137",-1.81902430922387,20.1557296019472,-26.0287420146799,3.1586692643614e-12,1.13977421735217e-09,15.985481585711
"FBgn0035540",20.4727635577835,5.10433244491619,25.78177145056,3.5493662362202e-12,1.2314935698824e-09,18.3783287119296
"FBgn0032790",22.8853151841138,5.91383740779417,25.686473780404,3.71380474121175e-12,1.24082342853597e-09,18.3867965923993
"FBgn0083992",21.7095322048823,5.45734033244851,24.5003409162074,6.61747921189721e-12,2.13200999894731e-09,17.822689441463
"FBgn0013764",-22.9361263626702,5.92987283488997,-24.3821071593326,7.02000868156273e-12,2.18370683849577e-09,17.8198036187478
"FBgn0085437",21.2152318198005,5.00348478201778,22.4797287013737,1.88908521033796e-11,5.68047922748625e-09,16.805960704589
"FBgn0010421",21.1496641220356,5.0094688547025,22.062943339385,2.37181048662491e-11,6.90196851607849e-09,16.5850658874082
"FBgn0051961",-23.0211170112522,5.53389879997692,-21.7018961992455,2.89828962386213e-11,8.17045959276883e-09,16.3943228757434
"FBgn0030468",-23.0083240484362,5.83136750614552,-21.5830624639531,3.09812513059263e-11,8.46914751608368e-09,16.3272256980863
"FBgn0001276",20.7078898502864,5.30821210534318,21.4241868436547,3.38884243309827e-11,8.99139634969986e-09,16.2328199510504
"FBgn0000163",-23.1703692259876,5.7721593619343,-21.3379567320281,3.55883671064142e-11,9.17264741905607e-09,16.1846878554409
"FBgn0028487",20.5811735327032,5.2692413257734,21.0001860924107,4.31882842127032e-11,1.08222642189665e-08,15.9953557199161
"FBgn0264895",-23.7409557221731,6.02412548557999,-20.2826517310709,6.5806938631268e-11,1.60444430646667e-08,15.5554319281142
"FBgn0027335",-1.18248481738933,19.7483565152378,-20.0797067579624,7.43216538681926e-11,1.76435694617096e-08,12.7716248000694
"FBgn0030717",21.2002417786886,4.90927407084031,19.7068279339085,9.32255718919067e-11,2.15637918983818e-08,15.2425101976031
"FBgn0041180",-2.27529657023568,19.3826565080148,-19.6636809895353,9.57274810875042e-11,2.15889401722594e-08,12.7468319541682
"FBgn0034073",-24.1862191421003,6.20823756028803,-19.5787644092104,1.00865405182934e-10,2.21928492720792e-08,15.1171891907327
"FBgn0000615",-22.9251226585702,5.66295837432655,-18.9706596849321,1.47605237383113e-10,3.09581748446283e-08,14.7355600084629
"FBgn0262937",-23.1029375451747,6.05595852006975,-18.96725086722,1.47925371256455e-10,3.09581748446283e-08,14.7302485250289
"FBgn0034110",23.0723827190821,6.03861108432721,18.9349242337791,1.50998746609428e-10,3.09581748446283e-08,14.7610774609197
"FBgn0263601",-23.954283165731,6.29526727428941,-18.4174581274371,2.10818501060686e-10,4.19728178597179e-08,14.3596423803196
"FBgn0024689",22.9225966832266,5.90850651088506,18.3943436779234,2.14028336276136e-10,4.19728178597179e-08,14.4107667400327
"FBgn0039595",22.1294839404816,5.70255767422449,18.3201441434917,2.24693162192506e-10,4.30419048476431e-08,14.3635973645696
"FBgn0052451",21.241189923114,5.56485629930251,18.2911002879557,2.29022440160389e-10,4.30419048476431e-08,14.3476073531956
"FBgn0015754",-1.32077471043612,19.6692367349711,-18.1365482187974,2.53623697600184e-10,4.66926403275767e-08,11.4993407061835
"FBgn0260049",-1.10306472775239,19.8929072130059,-18.0392959620642,2.70554002763826e-10,4.88133531786495e-08,11.3031282849689
"FBgn0041096",-24.1125613551249,6.27043141418674,-17.7480862182969,3.2895690867363e-10,5.73069967706809e-08,13.8999836161272
"FBgn0262517",22.4689640170326,5.72830432675412,17.7238666401558,3.34392888987046e-10,5.73069967706809e-08,13.9620088223596
"FBgn0053139",20.9952865500238,3.4356800344998,17.7137639593739,3.36688929037367e-10,5.73069967706809e-08,13.9624466530401
"FBgn0039877",21.0785921081801,4.94972843648506,17.669444212411,3.4696411468871e-10,5.79622829371639e-08,13.9319073336796
"FBgn0041205",-1.47199219873217,20.0853076311007,-17.6325135134847,3.55784372616112e-10,5.83551059158172e-08,10.9839783051063
"FBgn0032587",-24.2583617384459,6.29959169130384,-17.4365351972847,4.06816595257723e-10,6.42206821286954e-08,13.6798852959544
"FBgn0051694",-2.33369782191686,20.1470552911837,-17.4308697753498,4.08404463342581e-10,6.42206821286954e-08,10.8370054633384
"FBgn0030839",-24.2209345987993,6.33596724654853,-17.414946580447,4.12903177415401e-10,6.42206821286954e-08,13.6646213141319
"FBgn0066114",21.6656170173321,5.6751194031086,17.3642262269995,4.27592469831165e-10,6.53781639041854e-08,13.717596481544
"FBgn0031450",-1.92143193403469,19.1085853687273,-17.0514887189818,5.31565662832716e-10,7.99208974068988e-08,11.0074344733733
"FBgn0017429",21.6506241509297,5.51796125700275,16.972537962462,5.61918814886609e-10,8.05388334566284e-08,13.4415224632754
"FBgn0035405",-22.3972249016464,5.68987647295348,-16.9500151336341,5.70916358929073e-10,8.05388334566284e-08,13.357772254889
"FBgn0039141",-23.7728614454115,6.0915549755987,-16.914903792788,5.85253810669725e-10,8.05388334566284e-08,13.304671495979
"FBgn0034578",-23.3531227134821,6.09872195932654,-16.9136724810525,5.857635950566e-10,8.05388334566284e-08,13.3071159806991
"FBgn0262617",-23.8127286750332,6.02379441735946,-16.912799823316,5.86125180079179e-10,8.05388334566284e-08,13.302830708261
"FBgn0039959",22.1519067354834,5.61848475510304,16.9052986682435,5.89243211189167e-10,8.05388334566284e-08,13.3899632792268
"FBgn0036376",-1.05606863487186,19.3702240127585,-16.6664928400791,6.98470645445811e-10,9.40433386950247e-08,10.5035252157018
"FBgn0250876",22.3563757875386,5.65088832243776,16.5120758397293,7.8059159078385e-10,1.03554657947958e-07,13.1030345625303
"FBgn0031799",-23.6012286249234,5.92893509137758,-16.2223609495429,9.64112434326274e-10,1.26047221305179e-07,12.7873161940409
"FBgn0032793",-24.7986569515406,6.49565535773445,-15.8869588799377,1.23647565658515e-09,1.59346384257924e-07,12.525069097419
"FBgn0036766",-0.752598392412253,22.0912717788158,-15.8326325083925,1.28790540778438e-09,1.6363654483976e-07,8.65055868366693
"FBgn0027509",-23.689768229025,6.0100611771404,-15.6728248181374,1.45301089124098e-09,1.82050156248401e-07,12.3598728975209
"FBgn0001297",-1.80711704178589,20.1648641128328,-15.6192011933474,1.51340696761169e-09,1.87019784312671e-07,9.35720044307572
"FBgn0033468",21.3363197354552,5.39507756262369,15.5917284384986,1.54539170552147e-09,1.88391602371746e-07,12.4167183874527
"FBgn0038897",-24.0503874647953,6.4854664785645,-15.5361546300362,1.61233984300191e-09,1.9393223631627e-07,12.2497390993285
"FBgn0035851",-23.1791170291452,5.60812893617683,-15.4620163636224,1.70655618443487e-09,2.02563728155091e-07,12.1988403201258
"FBgn0015351",-26.0710317518875,7.30683837001689,-15.3561682128322,1.85148611127655e-09,2.16912418309425e-07,12.1037067355964
"FBgn0052594",-23.8366180293059,6.13603995243909,-15.3039106490885,1.92787635176041e-09,2.21147087804547e-07,12.0641738628182
"FBgn0024273",-1.13648908166518,19.823873506609,-15.2980444424661,1.93666111701133e-09,2.21147087804547e-07,9.22979888145047
"FBgn0032955",-1.64374880177247,19.3001219989247,-15.2521422398232,2.00690677663753e-09,2.2630382540059e-07,9.49694213823764
"FBgn0033787",-0.884272538851359,21.6580548848829,-15.154396740281,2.16579861111718e-09,2.41205793467754e-07,8.34352592402095
"FBgn0050456",-1.09385747317949,20.2327326929379,-15.0879088557365,2.28158933797103e-09,2.51002651437033e-07,8.91528804865704
"FBgn0033426",21.2641853845962,5.23672442149564,15.0711970918405,2.31172967337346e-09,2.51254378114482e-07,12.0065908017524
"FBgn0039056",-23.6338824983408,6.06679280671722,-14.8702972686126,2.70959581173397e-09,2.9099123592443e-07,11.7101387660809
"FBgn0031094",19.8974752950736,5.70244914284135,14.8471628123661,2.75994405840889e-09,2.92911239422431e-07,11.8447211673156
"FBgn0034643",-24.0839431390817,6.32649757134952,-14.8291945317151,2.79974354681557e-09,2.93680075997944e-07,11.6737513227335
"FBgn0003575",-24.3763233648648,6.4101759254109,-14.7876214579825,2.89421491565106e-09,3.00100146598716e-07,11.638381288788
"FBgn0086346",-1.46026255977452,19.9828460320858,-14.7397430096201,3.0072843879043e-09,3.08280823446417e-07,8.68941615352589
"FBgn0004574",-0.778150008125312,19.9369876471421,-14.6730497923878,3.172779711721e-09,3.21591525611631e-07,8.64678499807713
"FBgn0037293",-1.65705064001925,19.3015660164082,-14.6289792465524,3.28750026975686e-09,3.28094200878945e-07,8.89152158960778
"FBgn0016693",-0.902950759825906,20.17611278934,-14.6206519470834,3.309674346523e-09,3.28094200878945e-07,8.51024207474034
"FBgn0028582",-1.30711766759054,19.7797602951944,-14.5355492105294,3.54574330821725e-09,3.47675547645954e-07,8.62301141063331
"FBgn0033051",-2.21211953720733,18.5126737389589,-14.5032647423458,3.63998508301791e-09,3.53078553052737e-07,9.17261923762102
"FBgn0020389",-23.3602409850127,7.74084012824289,-14.3358475011025,4.17391355931455e-09,4.00562491686985e-07,11.2579132316279
"FBgn0037472",-22.7023988569411,6.03536629385978,-14.3034017921755,4.28682299854051e-09,4.07067687050884e-07,11.2501547830414
"FBgn0003742",22.0086156369744,6.60474983464532,14.2420390325014,4.50944846349078e-09,4.23747235303649e-07,11.3105104418515
