"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0036305",-15.0308523986162,1.66509660927238,-61.9455376115994,6.19791056118498e-17,5.59113511724497e-13,28.2340603671158
"FBgn0266917",-15.1896086495142,1.85641808608872,-47.0636479924913,1.89577732405729e-15,7.67253020145304e-12,25.5691738379941
"FBgn0033581",-15.3047745290708,1.542293797928,-45.9524379148844,2.55155643546825e-15,7.67253020145304e-12,25.3376851391518
"FBgn0004903",-15.4119896879312,1.93806703820772,-44.7800985677848,3.51810901209076e-15,7.9342153495177e-12,25.0837532406317
"FBgn0027841",-14.0854362384984,-2.28408725012523,-42.0486381386245,7.68902864430773e-15,1.28867852389788e-11,24.0289591628245
"FBgn0037482",-14.604363648694,1.52167706812913,-41.6824547049881,8.57119071431911e-15,1.28867852389788e-11,24.0972938391529
"FBgn0032197",-16.0083124161956,2.15856902574626,-40.2350984362004,1.32913992707801e-14,1.71288161173868e-11,23.9435211025009
"FBgn0021875",-15.6790955217914,2.11809851030779,-38.9310448121906,2.00038387827212e-14,2.21426733391395e-11,23.5382193735777
"FBgn0023506",-14.3904744495539,1.59184507615136,-38.3817171998154,2.385956924132e-14,2.21426733391395e-11,23.1561270387633
"FBgn0037737",-16.1437965813939,2.28366463984677,-38.2940744173808,2.45456970836265e-14,2.21426733391395e-11,23.3737327134162
"FBgn0011300",13.0836245797821,1.21828936279175,36.7728165331206,4.05722462303999e-14,3.32729302949489e-11,22.0929224373182
"FBgn0040080",-15.6924043843887,2.18610319709703,-35.8927702492284,5.47744809207556e-14,4.1176716032178e-11,22.5912857212261
"FBgn0028380",-16.0430332066023,2.37913179866399,-35.4918157758972,6.29521502764288e-14,4.36839498187434e-11,22.4730172483189
"FBgn0037241",14.7646139209836,1.84572409399552,34.0015789830783,1.07065504327069e-13,6.89884224667494e-11,21.4430680574084
"FBgn0033989",13.6393050760122,1.71076123861674,33.7469801487189,1.17501114245307e-13,7.06651701071273e-11,21.2892052434075
"FBgn0031114",-14.4494230744806,1.60419106905851,-32.2872577969289,2.03025853128064e-13,1.14468513816767e-10,21.2235853706543
"FBgn0013764",-16.0824595557084,2.19147871306145,-32.0579111370752,2.21727904477221e-13,1.17659260369942e-10,21.2511564304627
"FBgn0265137",-2.43829140991464,12.5581471851393,-29.7553071664591,5.56640187660857e-13,2.78969507382699e-10,18.424380016168
"FBgn0024194",13.9719586057876,1.57143681884557,27.7624739304618,1.30819645711662e-12,6.21117907349949e-10,19.2343812373603
"FBgn0030468",-15.8721356899276,2.10561684410331,-26.8542434019819,1.96999087381446e-12,8.88564383634012e-10,19.0802874416179
