"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FBgn0036305",-15.9182165265389,2.09498775656399,-59.5197053398818,1.05077333502089e-16,9.47902625522348e-13,27.7718004339691
"FBgn0266917",-16.0742272654535,2.30177141131062,-47.6350066347143,1.6767897418925e-15,7.47823372168776e-12,25.630822999351
"FBgn0033581",-16.2054548154503,1.94423670337144,-46.147132421448,2.48694170990614e-15,7.47823372168776e-12,25.3244279205215
"FBgn0004903",-16.3317043077217,2.38885111704274,-43.4429370375289,5.26332363212006e-15,1.18701106213388e-11,24.6997270020959
"FBgn0037482",-15.4544048539641,1.92991197782504,-39.4421680275295,1.74448573312405e-14,2.55949686554889e-11,23.4401518591973
"FBgn0032197",-16.9457113856101,2.62507945299652,-39.0622536537472,1.96681789576653e-14,2.55949686554889e-11,23.5617741682071
"FBgn0021875",-16.6099625172843,2.57892016230903,-39.0315375365086,1.98608558461836e-14,2.55949686554889e-11,23.5287477636893
"FBgn0037737",-17.0861063467151,2.75331016842278,-37.2640749553293,3.52625673408687e-14,3.77006513188439e-11,23.0181272524815
"FBgn0023506",-15.1576173018259,2.00254082718044,-37.0704063905464,3.76128879137119e-14,3.77006513188439e-11,22.7040308076732
"FBgn0027841",-14.8447599394286,-2.14000080023258,-35.7844711019414,5.8228640543248e-14,4.84653810648677e-11,22.2405800512101
"FBgn0040080",-16.6220526331154,2.65041665955949,-35.7416630088186,5.90975714126533e-14,4.84653810648677e-11,22.5079922156728
"FBgn0028380",-16.9899184676591,2.85324250021,-35.117158369342,7.34999492093471e-14,5.17914649954829e-11,22.3155082905597
"FBgn0011300",13.7327546476025,1.57920879167223,35.0736530940699,7.46357438134661e-14,5.17914649954829e-11,21.5483704933887
"FBgn0037241",15.6805685779568,2.29278211954786,34.3061614385425,9.81266625738122e-14,6.2600297700111e-11,21.4795838965723
"FBgn0033989",14.3981531620513,2.13296174708523,34.1428359320091,1.04090950615416e-13,6.2600297700111e-11,21.3398351692711
"FBgn0013764",-17.0301585975053,2.65862634675888,-31.2680019850881,3.08514277098249e-13,1.73944205856457e-10,20.9237267920534
"FBgn0031114",-15.2875903279678,2.01493145086764,-30.8421294760402,3.65393565619426e-13,1.93895020908991e-10,20.6548642781151
"FBgn0265137",-2.44849061156543,13.5336573138477,-30.2157390262085,4.70615056511243e-13,2.35856579154885e-10,18.5515212730285
"FBgn0003330",-16.1308192960499,-0.74183134747625,-27.3385254298344,1.61361109295914e-12,7.66125561557073e-10,19.2794149242905
"FBgn0030468",-16.8200895437142,2.56685364562833,-26.2264451011529,2.68795951980631e-12,1.19452596961067e-09,18.7706450972925
"FBgn0024194",14.8045075311432,1.99006158701209,26.1540673438741,2.78073887172422e-12,1.19452596961067e-09,18.5326393955085
"FBgn0051357",16.1204931954129,2.60099174166654,25.8314573588659,3.23841710473834e-12,1.32789821372021e-09,18.4295488221247
"FBgn0035137",15.3708018774411,2.20502644981333,25.1111547162405,4.58147727574379e-12,1.73446159701243e-09,18.0940403250514
"FBgn0032467",15.5570064893554,2.13334410405532,25.0964662265742,4.614463843066e-12,1.73446159701243e-09,18.0916471887313
"FBgn0032790",16.1937101867794,2.64076035866962,24.7113236230646,5.57764297347863e-12,2.01263669055003e-09,17.9268309257219
